velocidade,pid,temp
1.10,9.56,26.09
12.14,2.94,26.04
11.61,3.25,25.99
11.11,3.55,26.42
11.22,3.49,26.28
10.91,3.68,26.13
10.62,3.85,25.94
10.07,4.18,26.42
9.60,4.47,26.18
9.68,4.42,26.23
9.73,4.39,26.04
9.83,4.33,26.37
9.74,4.38,26.28
9.88,4.30,26.13
9.93,4.27,26.37
9.84,4.33,26.51
9.91,4.29,26.23
9.96,4.26,26.04
9.92,4.29,26.13
9.92,4.29,26.23
9.84,4.33,26.46
9.97,4.26,26.18
9.97,4.26,26.23
9.98,4.25,26.28
10.06,4.21,26.65
10.02,4.23,26.09
10.00,4.25,26.28
10.00,4.25,26.23
9.91,4.30,26.42
9.88,4.32,26.61
10.02,4.24,26.46
9.97,4.27,26.51
9.96,4.28,26.32
13.26,2.30,26.32
32.73,-9.39,26.46
38.78,-13.02,26.65
37.29,-12.13,26.09
31.92,-8.90,26.32
23.58,-3.90,25.99
11.26,3.49,26.42
10.22,4.12,26.56
9.42,4.60,26.18
9.51,4.55,26.32
9.71,4.43,26.42
9.66,4.46,26.80
9.78,4.39,26.51
9.82,4.36,26.09
9.91,4.31,26.51
9.93,4.30,26.32
9.77,4.40,26.51
10.01,4.25,26.32
