velocidade,pid
1.21,21.51
15.51,12.50
14.92,12.89
17.83,11.06
21.97,8.46
25.18,6.44
28.83,4.14
32.05,2.11
36.24,-0.53
39.98,-2.88
41.48,-3.83
42.15,-4.26
42.15,-4.26
42.15,-4.26
41.48,-3.83
38.59,-2.01
38.98,-2.26
36.93,-0.97
36.08,-0.43
34.17,0.77
32.73,1.68
32.45,1.85
32.87,1.59
33.43,1.24
34.47,0.58
35.26,0.09
36.24,-0.54
36.76,-0.86
37.29,-1.20
36.76,-0.86
37.11,-1.08
36.59,-0.75
36.76,-0.86
36.93,-0.97
36.41,-0.65
36.24,-0.54
36.24,-0.54
36.08,-0.43
36.08,-0.43
35.42,-0.02
35.42,-0.02
35.74,-0.23
35.58,-0.12
34.94,0.28
35.42,-0.02
35.26,0.08
35.42,-0.02
35.42,-0.02
35.58,-0.12
34.63,0.48
34.78,0.38
34.32,0.67
34.63,0.48
34.63,0.48
34.32,0.67
33.58,1.14
34.02,0.86
34.78,0.38
34.78,0.38
35.42,-0.02
35.58,-0.12
35.26,0.08
35.91,-0.33
36.08,-0.43
34.94,0.28
31.28,2.59
29.83,3.50
31.28,2.59
33.15,1.41
34.63,0.48
37.11,-1.08
38.40,-1.89
38.59,-2.02
38.40,-1.90
38.59,-2.02
37.65,-1.43
36.76,-0.87
36.41,-0.65
35.74,-0.23
35.10,0.18
33.87,0.95
32.18,2.02
30.06,3.35
29.83,3.50
30.30,3.21
31.15,2.67
33.29,1.33
35.42,-0.01
37.65,-1.42
38.21,-1.77
38.78,-2.14
38.78,-2.14
38.40,-1.90
38.02,-1.66
37.29,-1.20
36.76,-0.87
36.24,-0.54
34.94,0.28
33.43,1.23
32.87,1.59
33.58,1.14
35.10,0.18
36.93,-0.97
38.21,-1.78
39.17,-2.39
39.17,-2.39
38.98,-2.26
38.78,-2.14
36.93,-0.98
35.10,0.18
33.29,1.32
31.28,2.59
32.73,1.67
33.29,1.32
34.17,0.77
35.74,-0.23
36.41,-0.65
37.47,-1.31
37.47,-1.32
37.47,-1.32
37.65,-1.43
36.93,-0.98
36.24,-0.55
35.10,0.18
34.17,0.76
34.63,0.47
34.17,0.76
34.32,0.67
34.17,0.76
34.32,0.67
33.58,1.14
33.43,1.23
33.43,1.23
34.17,0.76
35.10,0.18
35.42,-0.02
36.08,-0.44
37.11,-1.09
36.59,-0.76
37.11,-1.09
36.59,-0.76
36.59,-0.76
36.08,-0.44
35.10,0.18
34.78,0.38
34.78,0.38
34.94,0.28
34.63,0.47
34.47,0.57
33.87,0.95
34.17,0.76
33.43,1.23
33.87,0.95
34.47,0.57
34.94,0.28
35.74,-0.23
35.74,-0.23
36.59,-0.76
36.08,-0.44
36.41,-0.65
36.93,-0.98
37.29,-1.20
36.59,-0.76
36.41,-0.65
35.42,-0.03
35.26,0.08
35.58,-0.13
35.10,0.18
35.42,-0.03
34.78,0.37
35.42,-0.03
35.58,-0.13
35.10,0.18
34.94,0.28
35.26,0.08
35.26,0.08
34.94,0.28
34.17,0.76
27.12,5.20
20.57,9.33
23.08,7.76
28.41,4.40
32.32,1.94
36.41,-0.64
39.37,-2.50
39.98,-2.89
39.37,-2.51
38.59,-2.01
38.02,-1.66
37.29,-1.20
36.24,-0.54
35.58,-0.12
34.63,0.48
33.43,1.23
33.15,1.41
33.43,1.23
33.43,1.24
31.15,2.67
30.54,3.06
30.78,2.91
31.53,2.44
33.15,1.42
34.47,0.58
36.24,-0.53
37.65,-1.42
37.47,-1.31
37.47,-1.31
37.29,-1.19
37.29,-1.19
36.76,-0.86
36.08,-0.43
35.26,0.09
33.87,0.96
33.87,0.96
33.58,1.15
33.15,1.42
32.45,1.86
29.60,3.65
27.21,5.16
27.21,5.16
29.72,3.59
33.15,1.43
36.76,-0.85
39.17,-2.37
38.59,-2.00
38.78,-2.13
38.78,-2.13
38.02,-1.65
37.11,-1.08
35.74,-0.21
34.63,0.49
33.72,1.06
31.53,2.44
33.15,1.42
32.87,1.60
33.72,1.06
34.32,0.68
35.10,0.20
35.74,-0.21
36.24,-0.53
36.59,-0.74
37.11,-1.08
37.11,-1.08
36.41,-0.64
37.29,-1.19
35.91,-0.32
35.42,-0.01
35.10,0.19
34.78,0.39
34.02,0.87
34.17,0.78
33.72,1.06
32.87,1.60
33.15,1.42
34.02,0.87
35.26,0.09
35.74,-0.21
36.08,-0.42
37.11,-1.08
37.11,-1.08
37.29,-1.19
36.93,-0.97
36.41,-0.64
35.91,-0.32
35.10,0.19
35.10,0.19
34.47,0.59
34.63,0.49
34.63,0.49
33.72,1.06
33.72,1.06
33.29,1.33
34.17,0.78
34.47,0.59
33.87,0.97
33.87,0.97
33.43,1.24
33.43,1.24
33.15,1.42
32.45,1.86
26.84,5.40
14.97,12.89
13.66,13.73
22.61,8.09
24.94,6.63
29.72,3.62
34.02,0.91
37.47,-1.27
38.59,-1.97
38.59,-1.97
36.41,-0.60
33.15,1.46
30.78,2.95
30.06,3.40
29.95,3.48
28.94,4.11
27.80,4.83
28.20,4.58
28.41,4.45
28.73,4.25
27.90,4.78
27.12,5.27
26.38,5.74
26.47,5.68
26.75,5.51
27.03,5.34
28.31,4.53
29.60,3.72
31.02,2.82
33.15,1.49
35.74,-0.15
38.21,-1.70
38.59,-1.94
39.37,-2.44
39.37,-2.44
39.17,-2.31
38.40,-1.83
37.84,-1.47
36.59,-0.69
36.24,-0.47
35.10,0.25
34.32,0.74
33.01,1.57
32.05,2.17
32.18,2.09
32.32,2.01
33.29,1.39
34.47,0.65
35.91,-0.26
38.02,-1.59
39.78,-2.69
40.40,-3.09
40.82,-3.36
40.19,-2.96
39.57,-2.57
38.21,-1.71
36.59,-0.69
35.26,0.15
34.78,0.45
35.10,0.25
34.17,0.83
33.43,1.30
33.58,1.21
33.15,1.48
34.17,0.84
34.78,0.45
35.26,0.15
35.74,-0.16
36.59,-0.69
37.47,-1.25
36.76,-0.80
37.47,-1.25
36.24,-0.47
36.41,-0.58
35.74,-0.16
34.78,0.45
34.02,0.93
34.63,0.54
34.02,0.93
34.02,0.93
34.47,0.64
34.32,0.74
34.02,0.93
34.47,0.64
34.32,0.74
34.47,0.64
34.78,0.45
34.47,0.64
34.78,0.45
33.87,1.02
33.01,1.57
34.47,0.64
35.26,0.15
35.58,-0.05
35.91,-0.26
36.24,-0.47
36.41,-0.58
36.59,-0.69
37.29,-1.13
36.59,-0.69
36.76,-0.80
37.29,-1.13
36.93,-0.91
37.11,-1.02
35.74,-0.16
34.63,0.54
33.29,1.39
33.01,1.57
31.53,2.50
32.05,2.17
